"Timestamp","BUSDUCT1 Current R","BUSDUCT1 Current Y","BUSDUCT1 Current B","BUSDUCT1 VOL RY","BUSDUCT1 VOL YB","BUSDUCT1 VOL BR","BUSDUCT1 KW","BUSDUCT1 PF"
"2023-11-19 13:30:00",5.7124242783,5.3280997276,5.9802708626,417.0437927246,418.8487243652,419.6202697754,,75.8507490158
"2023-11-19 13:45:00",5.6412386894,5.2804837227,5.9293737411,417.1356811523,418.8140258789,419.7021484375,,76.5754461288
"2023-11-19 14:00:01",5.6412386894,5.2804837227,5.9378871918,418.955657959,420.6385192871,421.7769775391,,76.0274529457
"2023-11-19 14:15:00",5.6143112183,5.2130918503,5.9293737411,420.0791320801,421.8623657227,422.8685913086,,75.840306282
"2023-11-19 14:30:00",5.6053071022,5.2033925056,5.9463877678,420.7993164063,422.3291015625,423.3996887207,,75.8963823318
"2023-11-19 14:45:00",5.5691437721,5.2033925056,5.869436264,418.9419250488,420.6266784668,421.6137695313,,77.0254015923
"2023-11-19 15:00:01",5.6233019829,5.1546254158,5.9208483696,418.7765808105,420.7186279297,421.7848510742,,76.8285512924
"2023-11-19 15:15:00",5.5872545242,5.2227725983,5.9123110771,417.3317871094,419.2474365234,420.0521240234,,76.7808794975
"2023-11-19 15:30:00",5.6769428253,5.1936759949,5.9123110771,418.3020019531,420.1207580566,420.955078125,,76.4452219009
"2023-11-19 15:45:00",5.6769428253,5.1448163986,5.8951983452,418.4132080078,420.2556152344,421.1773681641,,76.7003774643
"2023-11-19 16:00:01",5.6769428253,5.1741871834,5.9548768997,418.2591552734,420.2672424316,421.2080078125,,76.5388846397
"2023-11-19 16:15:00",5.6412386894,5.1741871834,5.9123110771,419.6599121094,421.750213623,422.6246032715,,76.3045072556
"2023-11-19 16:30:00",5.6680383682,5.1448163986,5.90376091,420.1047363281,422.3190002441,423.4026489258,,76.1501789093
"2023-11-19 16:45:02",5.7300825119,5.1839408875,5.878036499,420.4151611328,422.5331726074,423.5320739746,,76.1081337929
"2023-11-19 17:00:01",5.6322770119,5.1644158363,5.8951983452,419.6546325684,421.458404541,422.493927002,,76.3315439224
"2023-11-19 17:15:00",5.7035746574,5.1448163986,5.9123110771,418.551361084,420.7513427734,421.7233276367,,76.5657067299
"2023-11-19 17:30:05",5.7124242783,5.0756225586,5.9208483696,418.582611084,420.703704834,421.7653503418,,76.5466213226
"2023-11-19 17:45:00",5.6858344078,5.1839408875,5.9378871918,418.2240905762,420.4750061035,421.3631591797,,76.5156984329
"2023-11-19 18:00:02",5.6858344078,5.1546254158,5.9208483696,418.5953063965,420.9971618652,421.9340820313,,76.5758991241
"2023-11-19 18:15:00",5.7035746574,5.1349887848,5.9633536339,415.6050415039,418.6390686035,418.899810791,,76.810669899
"2023-11-19 18:30:00",5.6858344078,5.1251420975,5.9463877678,417.9813232422,420.665222168,421.0010070801,,76.6736745834
"2023-11-19 18:45:00",5.6947116852,5.1152763367,5.878036499,420.3233947754,422.6644592285,423.1429138184,,76.5294313431
"2023-11-24 17:00:00",28.8366966248,26.310426712,30.6026515961,406.667388916,409.2619628906,409.7777404785,,75.7381498814
"2023-11-24 17:15:00",18.2118740082,16.4883079529,21.4117145538,406.8913574219,409.3919677734,409.7059326172,,77.8205275536
"2023-11-24 17:30:00",17.8278331757,16.0851097107,20.81599617,407.3765563965,409.732635498,410.099029541,,77.9099881649
